id,text,p_green,u,human_label,notes,llm_green_suggested,llm_confidence,llm_rationale,is_green_human,override
9155154,"1. An operating device for driving a multicolored light source comprising: a touch-sensitive operating element configured to be operated by a touch of a user, the touch-sensitive operating element having an operating surface embodied as a smooth area that has no identifications; a proximity switch configured to switch on the touch-sensitive operating element when the user approaches the touch-sensitive operating element; and a control device configured to control a multicolored light source with a predetermined number of colors and brightness levels, wherein the touch-sensitive operating element is configured to select a color and a brightness from the predetermined number of colors and brightness levels depending on the touch of the user.",0.4984592948491162,0.9969185896982324,,,1,high,"The claim describes a device for driving a light source, explicitly involving a “touch-sensitive operating element” and a “control device” which directly relate to the operation of a light source – a core component of many lighting systems, and thus impacts climate change mitigation through reduced energy consumption and potentially lower greenhouse gas emissions. The mention of “multicolored light source” further reinforces this connection.",0,1
9233158,"1. A respirable dry powder comprising respirable dry particles comprising magnesium lactate, one or more therapeutic agents, leucine, and optionally one or more additional excipients, wherein the respirable dry particles comprise about 20% (w/w) to about 80% (w/w) magnesium lactate, and a total amount of about 20% (w/w) to about 60% (w/w) therapeutic agents; and wherein all components of the respirable dry particles amount to 100 weight percent, wherein the respirable dry particles have a volume median geometric diameter (VMGD) of 10 microns or less, a dispersibility ratio (1/4 bar) of 2.0 or less as measured by laser diffraction (RODOS/HELOS system), and a tap density of greater than 0.4 g/cc.",0.5017836319143936,0.9964327361712128,,,1,high,"The claim details a specific formulation of a powder containing magnesium lactate, therapeutic agents, leucine, and excipients, with a defined particle size distribution (VMGD, dispersibility ratio, and tap density) and volume. These characteristics are all crucial for applications related to pharmaceutical delivery and potentially, in the context of enhancing drug efficacy, could indirectly contribute to mitigating climate change by reducing waste from pharmaceutical production – though the exact mechanism isn’t explicitly stated. The focus on “respirable dry particles” is also a key indicator of a technology designed for environmental application.",0,1
8651282,"1. An apparatus for segregating particulate material by density and/or size to concentrate a contaminant contained within part of the particulate material for separation from the rest of the particulate material, comprising: (a) an enclosed fluidizing bed having (i) a receiving inlet for receiving the particulate material; (ii) an inlet opening for receiving a fluidizing stream for fluidizing at least a portion of the particulate material to create without mechanically-applied oscillation a first fluidized particulate material stream, and a first non-fluidized particulate material stream containing an increased concentration of the contaminant relative to the particulate material; (iii) a discharge outlet for discharging a portion of the fluidizing stream containing elutriated fines from the particulate material feed; (iv) a discharge outlet for discharging the first fluidized particulate material stream; and (v) discharge outlet for discharging the first non-fluidized particulate material stream containing the increased concentration of the contaminant; (b) a collector box positioned to receive the first non-fluidized particulate material stream discharged from the fluidizing bed, the collector box including means for directing a second fluidizing stream through the first non-fluidized particulate material stream as it is transported through the collector box to fluidize at least a portion of the first non-fluidized particulate material stream to create without mechanically-applied oscillation (i) a second non-fluidized particulate material stream from the first non-fluidized particulate material stream containing a further increased concentration of the contaminant and (ii) a second fluidized particulate material stream containing elutriated fines from the first non-fluidized particulate material stream; (c) a first fluidizing stream operatively connected to the inlet opening of the fluidizing bed for introducing the first fluidizing stream into the fluidizing bed to achieve separation of the first fluidized particulate material stream from the first non-fluidized particulate material stream; and (d) a second fluidizing stream operatively connected to the collector box for introducing the second fluidizing stream into the collector box to achieve separation of the second non-fluidized particulate material stream from the first non-fluidized particulate material stream.",0.5018091562981627,0.9963816874036746,,,1,high,The patent claim details a system for separating contaminants within particulate matter through fluidization and multiple streams. This directly relates to climate change mitigation by concentrating pollutants – a core function of this technology. The mention of “concentrate a contaminant contained within part of the particulate material” and “concentrate a contaminant” strongly suggests a mitigation strategy.,0,1
9097412,"1. An apparatus comprising: a base configured to attach to a screw in light socket; a heat sink connected to said base; a plurality of thermal mounts projecting from said heat sink, wherein said thermal mounts are electrically connected to said base and thermally connected to said heat sink; and at least two LED elements connected to each of said thermal mounts, wherein (A) one of said LED elements comprises an inner LED element aimed in a first direction and one of said LED elements comprises an outer LED element aimed in a second direction, (B) said LED elements form a pattern about a central axis to project light evenly from said apparatus and (C) each of said inner LED elements projects light towards said central axis and each of said outer LED elements projects light away from said central axis.",0.498102983117124,0.996205966234248,,,1,high,"The claim describes a device designed to produce light through the use of multiple LEDs, specifically configured to project light in a pattern. This directly relates to the generation and distribution of light – a fundamental aspect of lighting technologies, and thus falls under the umbrella of green technology. The specific arrangement of LEDs and the directional projection are key indicators of a lighting system, which is a prominent application of green technology.",0,1
9391637,"1. A method comprising: maintaining a reserved cache line in a plurality of cache lines to store error correcting code (ECC) data, wherein the reserved cache line does not have a virtual memory address and the plurality of cache lines other than the reserved cache line have a virtual memory address;",0.5021571837193077,0.9956856325613844,,,1,medium,"The claim explicitly describes a technique for implementing error-correcting codes (ECC) within a caching system. While caching itself isn’t a core technology for climate change mitigation, the implementation of ECC data within a designated, non-virtual memory cache line *could* potentially be leveraged to improve data integrity and resilience, thus indirectly contributing to a more reliable data infrastructure – a critical aspect for many climate-related models and data analysis. It’s a practical implementation of a security feature that could be adjusted to support certain climate-related tasks.",0,1
8395314,"1. A light-emitting element comprising: a cathode; an anode; a first light-emitting layer that is disposed between the cathode and the anode and is constituted by containing a host material and a guest material added to the host material and being a red light-emitting material that emits light in red as a first color; a second light-emitting layer that is disposed between the first light-emitting layer and the cathode and is constituted by containing a host material and a guest material added to the host material and being a second color light-emitting material that emits light in a second color; a third light-emitting layer that is disposed between the second light-emitting layer and the cathode and is constituted by containing a host material and a guest material added to the host material and being a third color light-emitting material that emits light in a third color; a first interlayer that is disposed between the first light-emitting layer and the second light-emitting layer so as to be in contact with them and is constituted by containing the same or the same type of material as the host material of the first light-emitting layer and not substantially containing materials having a light-emitting property, for adjusting movement of holes and electrons between the first light-emitting layer and the second light-emitting layer; and a second interlayer that is disposed between the second light-emitting layer and the third light-emitting layer so as to be in contact with them and is constituted by containing the same or the same type of material as the host material of the second light-emitting layer and/or the host material of the third light-emitting layer and not substantially containing materials having a light-emitting property, for adjusting movement of holes and electrons between the second light-emitting layer and the third light-emitting layer, the host material of the second light-emitting layer and/or the host material of the third light-emitting layer containing an anthracene-based material.",0.5022451707748128,0.9955096584503744,,,1,high,"The claim details the creation of a multi-layered light-emitting device with distinct colors, specifically employing anthracene-based materials. The arrangement of these layers – including interlayer connections – directly relates to the manipulation of light emission, a core element of green technology and light-emitting device design. The specific use of ‘host material’ and ‘guest material’ suggests a process aiming for precise control over light emission characteristics, a key component of many green technology innovations.",0,1
9574037,"1. A fluoropolymer [polymer (F)] comprising: recurring units derived from at least one ethylenically unsaturated fluorinated monomer [monomer (FM)]; from 5% to 60% by moles, with respect to the total moles of recurring units of polymer (F), of recurring units derived at least one ethylenically unsaturated fluorinated monomer containing at least one —SO from 0.01% to 10% by moles, with respect to the total moles of recurring units of polymer (F), of recurring units derived from at least one monomer comprising an azide group [monomer (Az)], wherein monomer (Az) does not comprise a (per)fluorovinyl ether end group of formula CF",0.4977005583762031,0.9954011167524062,,,1,high,"The claim explicitly describes a fluoropolymer with specific structural features – recurring units derived from ethylenically unsaturated fluorinated monomers, including a component containing an azide group. These characteristics strongly suggest a focus on materials science and polymer chemistry, which are central to the development of green technologies, particularly in areas related to sustainable materials and potentially environmental remediation. Fluoropolymers are increasingly recognized as having a lower environmental footprint compared to traditional polymers due to their durability and resistance to degradation.",0,1
9843381,"1. A method for transmitting a control channel and a data channel by a base station (BS), the method comprising: transmitting multicast/broadcast single frequency network (MBSFN) configuration to a relay node (RN), the MBSFN configuration indicating at least one BS-to-RN subframe among a plurality of subframes, the at least one BS-to-RN subframe being used for communication from the BS to the RN; transmitting a downlink (DL) control channel intended for the RN in the at least one BS-to-RN subframe, the DL control channel including a downlink resource assignment; and when the downlink resource assignment is transmitted in a specific frequency band of the DL control channel of the at least one BS-to-RN subframe, and when the downlink resource assignment indicates the specific frequency band, transmitting downlink data on a DL data channel of the at least one BS-to-RN subframe indicated by the downlink resource assignment, wherein the DL data channel is transmitted in the specific frequency band of the at least one BS-to-RN subframe.",0.4975018720156284,0.9950037440312568,,,1,high,"The claim describes a method for transmitting data using multicast/broadcast networks, specifically configuring these networks for communication between a base station (BS) and a relay node (RN). The inclusion of “at least one BS-to-RN subframe” and the specific frequency band allocation within those subframes strongly indicates a system designed to optimize the efficiency of data transfer, a core element of mitigating climate change through reduced energy consumption and carbon emissions.  The use of multicast/broadcast inherently minimizes unnecessary network traffic, a key aspect of sustainable technology.",0,1
9025316,"1. An electrical component, comprising an inkjet-printed electrode on a flexible substrate, said electrode including a plurality of overlapping dot-like structures which include graphene flakes, at least some of said graphene flakes having oxygen-containing functional groups.",0.4974821305153856,0.9949642610307712,,,0,high,"The claim details a specific material composition – a flexible substrate with graphene flakes and oxygen-containing functional groups – which is directly relevant to the development and application of graphene and related materials, commonly associated with green technology and potentially used in energy storage and environmental remediation. The “electrical component” aspect further suggests a technological application.",0,0
9670602,"1. Open-end spinning rotor ( 1 ), comprising a rotor shaft ( 2 ), a rotor cup ( 3 ) and a coupling device ( 4 ), which releasably connects the rotor shaft ( 2 ) and the rotor cup ( 3 ) and has a receiving element ( 5 ) connected to the rotor shaft ( 2 ) and an axle element ( 6 ) connected to the rotor cup ( 3 ), characterised in that the coupling device ( 4 ) comprises at least three clamping bodies ( 7 , 8 , 9 ), which are arranged between a contour ( 10 ) of the receiving element ( 5 ) and a contour ( 11 ) of the axle element ( 6 ), in that the contour ( 10 ) of the receiving element ( 5 ), the contour ( 11 ) of the axle element ( 6 ) and the clamping bodies ( 7 , 8 , 9 ) are configured in such a way that by driving the rotor shaft ( 2 ), a relative rotational movement is firstly produced between the receiving element ( 5 ) on the one hand and the clamping bodies ( 7 , 8 , 9 ) and the axle element ( 6 ) on the other hand, in that owing to the relative rotational movement, the clamping bodies ( 7 , 8 , 9 ) are clamped between the contour ( 11 ) of the axle element ( 6 ) and the contour ( 10 ) of the receiving element ( 5 ) and in that the drive torque is thereby transmitted from the rotor shaft ( 2 ) to the rotor cup ( 3 ), characterised further in that the contour ( 10 ) of the receiving element ( 5 ), the contour ( 11 ) of the axle element ( 6 ) and the clamping bodies ( 7 , 8 , 9 ) are configured in such a way that the clamping bodies ( 7 , 8 , 9 ), independently of the drive direction of the rotor shaft ( 2 ) when the rotor shaft ( 2 ) is driven, are clamped between the contour ( 10 ) of the receiving element ( 5 ) and the contour ( 11 ) of the axle element ( 6 ).",0.4974548600444909,0.994909720088982,,,0,unknown,"The claim details a “spinning rotor” with a coupling mechanism designed to create a rotational movement, specifically involving clamping bodies that actively engage with the receiving element and axle element. This strongly suggests a mechanism for controlling and influencing the flow of materials, which is a core element of climate change mitigation efforts – by potentially influencing the movement of materials to improve energy efficiency or reduce emissions.  The clamping action points towards a potential application in closed-loop systems, aligning with green technology principles.",0,0
9627579,"1. An LED device capable of emitting electromagnetic radiation ranging from about 200 nm to 365 nm, the device comprising: a substrate member, the substrate member being selected from sapphire, silicon, quartz, gallium nitride, gallium aluminum nitride, or others; a sloped mesa region; an active region overlying the substrate region, the active region comprising a light emitting spatial region comprising a p-n junction, the light emitting spatial region configured with the sloped mesa region such that a ratio of the sloped mesa region to the light emitting spatial region ranges from 1 to 4, the light emitting spatial region characterized by a concentrated current region; an optical structure spatially disposed separate and apart the light emitting spatial region and is configured to facilitate light extraction from the active region.",0.4973740165214665,0.994748033042933,,,1,high,"The claim details a “LED device” – a core component of many lighting technologies – which inherently involves manipulating light and radiation. The description of a “sloped mesa region” and “light emitting spatial region” coupled with a “ratio of the sloped mesa region to the light emitting spatial region” strongly suggests a mechanism for generating and directing light, a fundamental element in light-based technologies used for energy efficiency and potentially, in the future, for climate change mitigation through reduced energy consumption. The use of “electromagnetic radiation” is also a key element of the technology’s function.",0,1
8966925,"1. A portable cooling device comprising: an insulated housing including a front wall, a rear wall, a left side wall, a right side wall, a base, and a lid; at least one fan disposed within a fan housing, the fan housing pivotally and rotatably attached to an exterior surface of the lid; a water cooler system disposed within the housing; a power system operationally engaging the water cooler system and each fan; wherein the water cooler system comprises:",0.497166091673523,0.994332183347046,,,1,high,"The claim details a cooling device incorporating a rotating fan, a water cooler system, and a power system – all core components of cooling technology. The “portable” aspect further suggests a potential application focused on mitigating heat-related impacts, which is closely linked to climate change. The description implies a system designed for controlled cooling, a fundamental aspect of climate engineering efforts.",0,1
8591699,"1. A processing chamber comprising: a chamber body defining at least a first processing region and a second processing region, wherein the chamber body has: a substrate support in each processing region; a first entry port formed above the first processing region and coupled to a first gas distribution assembly disposed over a top portion of the first processing region; a second entry port formed above the second processing region and coupled to a second gas distribution assembly disposed over a top portion of the second processing region; a first vertical passage extending downward through a chamber wall; one or more first cross channels open to a bottom portion of the first processing region and intersecting the first vertical passage; a second vertical passage extending downward through the chamber wall; and one or more second cross channels open to a bottom portion of the second processing region and intersecting the second vertical passage; a remote plasma source configured to provide a cleaning plasma towards the top portions and/or the bottom portions of the first and second processing regions; a first gas conduit connecting the remote plasma source to the first and second entry ports; and a valve having an inlet coupled to the first gas conduit and at least one outlet coupled to the first and second vertical passages, wherein opening of the valve selectively diverts a portion of the cleaning plasma from the remote plasma source to the bottom portions of the first and second processing regions for introducing the cleaning plasma to a lower side of the substrate support.",0.4970910248389776,0.9941820496779552,,,1,high,The claim describes a system designed to utilize plasma cleaning to remove contaminants from a substrate. This directly relates to climate change mitigation by potentially reducing pollution and waste associated with manufacturing processes. The “cleaning plasma” aspect is a core element of the technology and its purpose aligns with efforts to lessen environmental impact.,0,1
9104368,"1. A flexible display panel having a display region on a first plane and a non-display region on a second plane that is bent with respect to the first plane, the flexible display panel comprising: a first protective film; an encapsulated panel on the first protective film and comprising: a second protective film on the encapsulated panel.",0.4970524892506595,0.9941049785013192,,,1,high,"The claim describes a flexible display panel with distinct regions – a “display region” and a “non-display region” – that are bent relative to each other. This directly relates to the fundamental design and construction of flexible displays, a core component of many display technologies that could potentially contribute to reduced energy consumption compared to rigid displays.  The “protective films” suggest a design element aiming to enhance durability and longevity, hinting at potential advancements in materials used within the display.",0,1
8972651,"1. A storage system comprising: a storage, which comprises a nonvolatile storage medium; and a storage control apparatus for inputting/outputting data to/from the storage, wherein the storage control apparatus comprises: a memory for storing management information, which is information used in inputting/outputting data to/from the storage; and a control part for controlling access to the storage, a secondary power source for supplying power to the memory and the control part when the supply of power from a primary power source, which is a power source of the storage system and the storage control apparatus, is shut off, and wherein the control part: (A) stores the management information, which is stored in the memory, in the storage as a base image; and (B) when the management information is updated subsequent to the base image being stored in the storage, creates a journal comprising information related to this update, and stores the journal in the storage as a journal group which is configured from multiple journals, and wherein the management information comprising; data logical address-physical address translation table, which is for showing the corresponding relationship between a physical address in the storage storing user data, and a logical address, which is associated with the physical address; and, base image logical address-physical address translation information, which is for showing the corresponding relationship between a physical address in the storage storing the base image, and a logical address, which is associated with the physical address in the storage storing the base image; and, journal list logical address-physical address translation information, which is for showing the corresponding relationship between a physical address in the storage storing the journal group, and a logical address, which is associated with the physical address in the storage storing the journal group, the control part: when the supply of power from a primary power source is shut off, stores base image logical address-physical address translation table and journal list logical address-physical address translation table in the storage prior to the data logical address-physical address translation table, using the secondary power source.",0.502960518430138,0.994078963139724,,,1,medium,"The claim details a system that utilizes a storage medium with a “base image” – a crucial element for data management – and employs a control system to manage updates and ensures data integrity even during a power outage. The detailed description of the journal group and its configuration highlights a sophisticated approach to data management, suggesting a potential for significant energy efficiency and data consistency.",0,1
8674372,"1. A high electron mobility transistor, comprising: a source, gate and drain; a first III-V semiconductor region having a two-dimensional electron gas (2DEG) which provides a first conductive channel controllable by the gate between the source and drain; a second III-V semiconductor region below the first III-V semiconductor region and having a second conductive channel connected to the source or drain and not controllable by the gate; and wherein the first and second III-V semiconductor regions are spaced apart from one another by a region of the high electron mobility transistor having a different band gap than the first and second III-V semiconductor regions.",0.5031476371627911,0.9937047256744178,,,1,high,"The claim details a high electron mobility transistor (EMT) design that utilizes a two-dimensional electron gas (2DEG) channel for conductivity. This inherently involves the manipulation and control of electron flow, a key element in many climate change mitigation strategies through energy efficiency and carbon capture technologies.  The spatial separation of the semiconductor regions further suggests potential for optimizing device performance and utilizing materials with specific properties relevant to renewable energy applications.",0,1
8762680,"1. A computer implemented method comprising: dispatching a first amount of a resource to a set of capped partitions, a partition being a data processing system in a virtualized data processing environment; computing, using a processor and a memory, a used portion of the first amount used in a first period; forecasting a second amount of the resource needed for a second period, the forecasting being based on (i) the used portion of the first amount and (ii) a workload performed by the set of capped partitions in the first period; computing a spare portion of the first amount in the first period; allocating the second amount to the set of capped partitions in the second period; and distributing a third amount of the resource to a set of uncapped partitions, the third amount being equal to the spare portion of the first amount.",0.5033305757904839,0.9933388484190322,,,1,high,"The claim describes a system that utilizes a “spare portion” of a resource to allocate it across different processing environments – capped and uncapped partitions. This directly relates to resource allocation and optimization, a core component of many green technology applications, particularly in data center efficiency and cloud computing, which significantly contribute to energy savings and carbon reduction. The concept of predicting resource needs and dynamically distributing spare resources also aligns with smart grid and energy management systems, frequently employed in sustainable infrastructure.",0,1
